Name,Count
Lundstram,32
De Bruyne,31
Pukki,30
Cantwell,29
Salah,28
Abraham,28
Button,23
Mount,21
Pope,19
Agüero,19
Sterling,18
Digne,18
Alexander-Arnold,17
McGinn,16
van Dijk,15
Kelly,14
Pieters,13
Otamendi,11
Ederson,10
Robertson,10
Rico,9
Mané,9
Kane,9
Wan-Bissaka,9
Dunk,9
van Aanholt,9
Aubameyang,8
Ryan,7
Greenwood,7
Barnes,6
Söyüncü,6
Guendouzi,6
Walker,6
Adrián,6
Firmino,6
Ceballos,6
Dendoncker,5
Son,5
Patrício,5
King,5
Mings,5
Alderweireld,5
David Silva,5
Ayew,4
Callum Wilson,4
Pereira,4
Gunn,4
Vardy,4
Lascelles,4
Hayden,4
de Gea,4
Vestergaard,4
Bernardo Silva,4
Tomori,3
Leno,3
McGovern,3
Wesley,3
Ndombele,3
Jota,3
James,3
Bernard,3
Zaha,3
Kepa,3
Pulisic,3
Stekelenburg,2
Martial,2
Harry Wilson,2
Zinchenko,2
Lanzini,2
Simpson,2
Matip,2
Schmeichel,2
Lamela,2
Wijnaldum,2
Gibson,2
Keane,2
Rashford,2
Diop,2
Montoya,1
Colback,1
Lowton,1
Haller,1
Pickford,1
Aurier,1
Jiménez,1
Hart,1
Moutinho,1
Stephens,1
Chilwell,1
Kovacic,1
Schär,1
Yarmolenko,1
Wood,1
Maddison,1
Douglas Luiz,1
Mina,1
Ward,1
Ings,1
Buendía,1
Schneiderlin,1
Ramsdale,1
Noble,1
Boly,1
Evans,1
Vallejo,1
Pereyra,1
Gudmundsson,1
Grealish,1
Daniels,1
Reid,1
Guilbert,1
March,1
Mee,1
Richarlison,1
Alisson,1
Torreira,1
Lucas Moura,1
Fraser,1
Pedro,1
Maitland-Niles,1
Aké,1
Højbjerg,1
Stearman,1
McNeil,1
Engels,1
Coleman,1
McTominay,1
Tielemans,1
Sigurdsson,1
Jorginho,1
Prödl,1
Kolasinac,1
Neves,1
Morgan,1
Success,1
Zouma,1
Holebas,1
Eriksen,1
Iwobi,1
Fabianski,1
Duffy,1
Tosun,1
