Name,Count
Lundstram,41
De Bruyne,33
Vardy,33
Abraham,31
Mané,29
Button,21
Mount,21
Jiménez,19
Söyüncü,17
Kelly,17
Rico,16
Cantwell,16
Pope,15
Alexander-Arnold,15
McGinn,15
Salah,14
Ryan,14
Aubameyang,14
Robertson,14
Sterling,12
Pereira,11
van Dijk,10
Son,10
Dunk,10
Pulisic,9
Tielemans,9
Pieters,9
Dendoncker,8
Chilwell,8
Schmeichel,7
McGovern,7
Wan-Bissaka,7
Greenwood,6
van Aanholt,6
Digne,6
Agüero,6
Martial,5
Tomori,5
Guendouzi,5
Ings,5
Patrício,5
Mings,5
Hayden,4
Maddison,4
Pukki,4
Mousset,4
Ayew,4
Ramsdale,4
James,4
Kane,4
Ederson,4
King,4
Pérez,3
Henderson,3
Gunn,3
Lascelles,3
McTominay,3
Zaha,3
Aké,3
Traoré,3
Stekelenburg,2
Elneny,2
Grealish,2
Leno,2
Zinchenko,2
Walker,2
Harry Wilson,2
Ward,2
David Silva,2
de Gea,2
Baldock,2
Evans,2
Gibson,2
Alisson,2
Ndombele,2
Firmino,2
Boly,2
Krul,2
Callum Wilson,2
Rashford,2
Ceballos,2
Kepa,2
Diop,2
Guilbert,1
Montoya,1
Reid,1
Colback,1
Lowton,1
Connolly,1
Lovren,1
Jesus,1
Moutinho,1
Hart,1
Simpson,1
Kovacic,1
Aurier,1
Cresswell,1
Kanté,1
Tarkowski,1
Schneiderlin,1
Ndidi,1
Egan,1
Alderweireld,1
Willems,1
Martinelli,1
Janmaat,1
March,1
Mendy,1
Richarlison,1
Douglas Luiz,1
Pedro,1
Torreira,1
Lucas Moura,1
Fraser,1
Højbjerg,1
Maitland-Niles,1
Keane,1
McNeil,1
Engels,1
Adrián,1
Wesley,1
Matip,1
Sigurdsson,1
Jorginho,1
Prödl,1
Kolasinac,1
Otamendi,1
Neves,1
Jota,1
Morgan,1
Success,1
Zouma,1
Holebas,1
Bernardo Silva,1
Bernard,1
Iwobi,1
Tosun,1
Fabianski,1
Duffy,1
Eriksen,1
Williams,1
Schelotto,1
