Name,Count
De Bruyne,34
Pukki,31
Salah,29
Cantwell,29
Lundstram,28
Abraham,25
Button,24
Digne,19
Agüero,19
Pope,18
Sterling,18
Mount,18
Alexander-Arnold,17
van Dijk,15
Kelly,14
Pieters,13
Otamendi,11
McGinn,10
Wan-Bissaka,10
Ederson,10
Robertson,10
Rico,9
Kane,9
Dunk,9
van Aanholt,9
Mané,8
Aubameyang,8
Barnes,7
Ryan,7
Greenwood,7
James,7
Adrián,7
Söyüncü,6
Walker,6
Hayden,6
Firmino,6
Ceballos,6
Dendoncker,5
Ayew,5
Patrício,5
Guendouzi,5
King,5
Mings,5
Lascelles,5
Alderweireld,5
Vardy,4
Son,4
Gunn,4
de Gea,4
David Silva,4
Vestergaard,4
Bernardo Silva,4
Fraser,4
Leno,3
Zinchenko,3
Keane,3
Duffy,3
Wesley,3
Jota,3
Bernard,3
Zaha,3
Kepa,3
Pulisic,3
Stekelenburg,2
Martial,2
Harry Wilson,2
Maddison,2
McGovern,2
Haller,2
Lanzini,2
Simpson,2
Matip,2
Ndombele,2
Schmeichel,2
Pereira,2
Lamela,2
Callum Wilson,2
Boly,2
Neves,2
Rashford,2
Diop,2
Montoya,1
Colback,1
Lowton,1
Pickford,1
Aurier,1
Jiménez,1
Hart,1
Moutinho,1
Stephens,1
Chilwell,1
Kovacic,1
Schär,1
Wood,1
Tomori,1
Ndidi,1
Wijnaldum,1
David Luiz,1
Douglas Luiz,1
Mina,1
Ward,1
Ings,1
Buendía,1
Schneiderlin,1
Ramsdale,1
Noble,1
Evans,1
Vallejo,1
Pereyra,1
Grealish,1
Gudmundsson,1
Daniels,1
Reid,1
Guilbert,1
March,1
Mee,1
Richarlison,1
Alisson,1
Pedro,1
Torreira,1
Lucas Moura,1
Aké,1
Maitland-Niles,1
Højbjerg,1
Stearman,1
Engels,1
McNeil,1
Coleman,1
McTominay,1
Murray,1
Tielemans,1
Sigurdsson,1
Jorginho,1
Prödl,1
Kolasinac,1
Gibson,1
Morgan,1
Success,1
Holebas,1
Eriksen,1
Iwobi,1
Tosun,1
Fabianski,1
Zouma,1
