Name,Count
Button,25
Digne,23
Salah,23
Sterling,22
Wan-Bissaka,22
van Dijk,19
Kelly,18
Lundstram,17
Robertson,16
De Bruyne,15
Greenwood,15
Pukki,15
King,15
Dendoncker,14
Kane,14
Ederson,14
Mané,13
Martial,12
Dunk,11
Pope,10
Ryan,10
Walker,10
Agüero,10
Aubameyang,10
Firmino,9
Zinchenko,8
Sigurdsson,8
Ceballos,8
Alexander-Arnold,8
Aké,7
Fraser,7
de Gea,7
Bernardo Silva,7
Rashford,6
Callum Wilson,6
Hayden,6
Lascelles,6
Alderweireld,6
Pérez,6
Zaha,6
Pulisic,5
Jota,5
Ndombele,5
Richarlison,5
Jiménez,5
McGinn,4
Pogba,4
Barnes,4
Maddison,4
Walker-Peters,4
Milivojevic,4
Keane,4
Bernard,4
Guendouzi,3
Mount,3
Stekelenburg,3
Adrián,3
Laporte,3
Pereyra,3
Duffy,3
Simpson,3
Moutinho,3
Deulofeu,3
Maitland-Niles,3
Pedro,3
Jorginho,3
Mina,3
Neves,3
Kepa,3
Montoya,2
Vardy,2
Heaton,2
Rico,2
Boly,2
McGovern,2
Origi,2
Deeney,2
Pickford,2
Kean,2
Chilwell,2
Stephens,2
Diop,2
Patrício,2
Lucas Moura,2
Kovacic,2
Begovic,2
Grealish,2
Ndidi,2
Reid,2
Gibson,2
Long,2
van Aanholt,2
Ayew,2
Lamela,2
Leno,2
Mee,2
Murray,2
Chicharito,2
Coleman,2
Alisson,2
Schmeichel,2
Eriksen,2
Lanzini,1
Wesley,1
Trossard,1
Barkley,1
Cantwell,1
Söyüncü,1
Cathcart,1
Hart,1
Lössl,1
Wickham,1
Groß,1
Giroud,1
Sharp,1
Stones,1
Sokratis,1
Mings,1
David Silva,1
Wijnaldum,1
David Luiz,1
Johnson,1
Kanté,1
Longstaff,1
Camarasa,1
Ings,1
Gunn,1
Chambers,1
Tarkowski,1
Fornals,1
Pieters,1
Schneiderlin,1
Bennett,1
Milner,1
Maguire,1
Felipe Anderson,1
Foster,1
Evans,1
Daniels,1
Gudmundsson,1
Vallejo,1
March,1
Targett,1
Mkhitaryan,1
Calvert-Lewin,1
Pereira,1
Torreira,1
Højbjerg,1
Sessegnon,1
Stearman,1
Azpilicueta,1
Capoue,1
Kiko Femenía,1
Mousset,1
Lacazette,1
McTominay,1
Prödl,1
Parrott,1
Morgan,1
Otamendi,1
Kolasinac,1
Success,1
Zouma,1
Holebas,1
Iwobi,1
Fabianski,1
Tosun,1
