Name,Count
Lundstram,35
De Bruyne,34
Abraham,30
Mount,26
Cantwell,26
Button,22
Salah,20
Pukki,19
Agüero,19
Sterling,18
McGinn,18
Mané,17
Alexander-Arnold,17
Pope,16
Kelly,15
Pieters,15
Ryan,14
Dunk,14
van Dijk,12
Digne,12
Aubameyang,12
Rico,11
Pereira,11
Vardy,10
Ederson,10
Söyüncü,9
Robertson,9
Callum Wilson,8
Otamendi,8
Wan-Bissaka,8
Dendoncker,6
van Aanholt,6
Guendouzi,6
King,6
Patrício,5
Ayew,5
Greenwood,5
McGovern,5
Mings,5
Firmino,5
Tomori,4
Gunn,4
Lascelles,4
David Silva,4
Kane,4
Ceballos,4
Martial,3
Son,3
Walker,3
Connolly,3
Jiménez,3
Hayden,3
Bernardo Silva,3
Yarmolenko,3
Ings,3
James,3
Zaha,3
Kepa,3
Pulisic,3
Stekelenburg,2
Leno,2
Zinchenko,2
Lanzini,2
Wood,2
Matip,2
Maddison,2
Schmeichel,2
de Gea,2
Vestergaard,2
Wijnaldum,2
Gibson,2
Keane,2
Henderson,2
Alisson,2
Ndidi,2
Ndombele,2
Boly,2
Alderweireld,2
Bernard,2
Jota,2
Wesley,2
Rashford,2
Diop,2
Saka,1
Montoya,1
Colback,1
Lowton,1
Haller,1
Pickford,1
Moutinho,1
Hart,1
Simpson,1
Burn,1
Elneny,1
Chilwell,1
Kovacic,1
Cresswell,1
Chambers,1
Douglas Luiz,1
Mina,1
Ward,1
Harry Wilson,1
Doherty,1
Schneiderlin,1
Ramsdale,1
Evans,1
Vallejo,1
Grealish,1
Traoré,1
Daniels,1
Reid,1
March,1
Guilbert,1
Mee,1
Richarlison,1
Lucas Moura,1
Fraser,1
Pedro,1
Torreira,1
Aké,1
Maitland-Niles,1
Højbjerg,1
Barnes,1
Coleman,1
McNeil,1
Engels,1
Adrián,1
McTominay,1
Jorginho,1
Tielemans,1
Sigurdsson,1
Prödl,1
Kolasinac,1
Neves,1
Morgan,1
Success,1
Zouma,1
Eriksen,1
Iwobi,1
Fabianski,1
Duffy,1
Holebas,1
Tosun,1
