Name,Count
Lundstram,36
De Bruyne,35
Abraham,33
Mount,27
Button,22
Cantwell,20
Salah,19
Sterling,19
Vardy,19
Mané,18
Kelly,16
Alexander-Arnold,16
Pukki,16
Pope,14
McGinn,14
Ryan,14
Robertson,14
Agüero,14
Pieters,14
Rico,13
Dunk,13
Aubameyang,12
Pereira,11
Ederson,11
van Dijk,10
Söyüncü,10
Digne,10
Wan-Bissaka,8
Dendoncker,6
David Silva,6
Ayew,6
Greenwood,6
King,6
McGovern,6
Firmino,6
Martial,5
Tomori,5
Mings,5
van Aanholt,5
Guendouzi,5
Jiménez,4
Yarmolenko,4
Callum Wilson,4
Schmeichel,4
Gunn,4
Lascelles,4
Pulisic,4
Ceballos,4
Aké,4
Tielemans,3
Connolly,3
Hayden,3
McTominay,3
Patrício,3
Ings,3
James,3
Alisson,3
Kane,3
Kepa,3
Stekelenburg,2
Guilbert,2
Elneny,2
Pérez,2
Leno,2
Zinchenko,2
Walker,2
Lanzini,2
Chilwell,2
Otamendi,2
Maddison,2
de Gea,2
Evans,2
Gibson,2
Henderson,2
Keane,2
Traoré,2
Ndidi,2
Bernardo Silva,2
Ndombele,2
Boly,2
Alderweireld,2
Zaha,2
Jota,2
Bernard,2
Rashford,2
Diop,2
Saka,1
Montoya,1
Reid,1
Willian,1
Lowton,1
Hart,1
Simpson,1
Moutinho,1
Burn,1
Son,1
Kovacic,1
Cresswell,1
Alonso,1
Wood,1
Mendy,1
Chambers,1
Mina,1
Ward,1
Wijnaldum,1
Doherty,1
Schneiderlin,1
Ramsdale,1
Willems,1
Grealish,1
March,1
Mee,1
Richarlison,1
Douglas Luiz,1
Torreira,1
Lucas Moura,1
Fraser,1
Pedro,1
Maitland-Niles,1
Højbjerg,1
Engels,1
McNeil,1
Barnes,1
Coleman,1
Wesley,1
Adrián,1
Matip,1
Jorginho,1
Sigurdsson,1
Prödl,1
Kolasinac,1
Morgan,1
Neves,1
Success,1
Zouma,1
Duffy,1
Eriksen,1
Iwobi,1
Tosun,1
Fabianski,1
Holebas,1
