Name,Count
De Bruyne,29
Pukki,28
Salah,27
Digne,26
Lundstram,24
Sterling,24
Button,24
van Dijk,19
Kelly,17
Agüero,17
Cantwell,16
Pope,15
Mount,15
Robertson,13
Zinchenko,12
Barnes,12
Wan-Bissaka,12
Greenwood,12
Alexander-Arnold,12
Dunk,11
King,11
Ederson,10
James,10
Kane,9
Ryan,8
Mané,8
Ceballos,8
McGinn,7
Patrício,7
van Aanholt,7
Abraham,7
Aubameyang,7
Pieters,6
Walker,6
Rashford,6
Adrián,6
Lascelles,6
Dendoncker,5
Martial,5
Ayew,5
Mings,5
Fraser,5
Hayden,5
Firmino,5
Neves,5
Vardy,4
Stekelenburg,4
Söyüncü,4
Guendouzi,4
Maddison,4
Keane,4
Simpson,4
de Gea,4
Aké,4
Jota,4
Lanzini,3
Rico,3
Leno,3
Otamendi,3
Haller,3
Richarlison,3
Duffy,3
Wesley,3
Alderweireld,3
Bernardo Silva,3
David Silva,3
Sigurdsson,3
Vestergaard,3
Bernard,3
Zaha,3
Kepa,3
Pulisic,3
Montoya,2
Harry Wilson,2
McGovern,2
Pickford,2
Jiménez,2
Moutinho,2
Lucas Moura,2
Kovacic,2
Matip,2
Mina,2
Ndombele,2
Begovic,2
Grealish,2
Eriksen,2
Callum Wilson,2
Mee,2
Jorginho,2
Coleman,2
Nketiah,1
Trossard,1
Colback,1
Lowton,1
Hanley,1
Hart,1
Son,1
Stephens,1
Chilwell,1
Sharp,1
Stones,1
Heaton,1
Ndidi,1
David Luiz,1
Wijnaldum,1
Douglas Luiz,1
Pogba,1
Ward,1
Ings,1
Boly,1
Schneiderlin,1
Milner,1
Bennett,1
Noble,1
Long,1
Foster,1
Evans,1
Vallejo,1
Pereyra,1
Gudmundsson,1
Daniels,1
Reid,1
March,1
Targett,1
Alisson,1
Mkhitaryan,1
Pereira,1
Torreira,1
Schmeichel,1
Pedro,1
Maitland-Niles,1
Diop,1
Højbjerg,1
Stearman,1
McNeil,1
Lamela,1
McTominay,1
Murray,1
Tielemans,1
Prödl,1
Kolasinac,1
Gibson,1
Morgan,1
Success,1
Zouma,1
Holebas,1
Iwobi,1
Fabianski,1
Tosun,1
