Name,Count
Pukki,32
De Bruyne,31
Salah,27
Cantwell,25
Lundstram,25
Digne,25
Button,23
Sterling,22
van Dijk,20
Agüero,17
Pope,16
Kelly,15
Mount,14
Wan-Bissaka,12
Barnes,11
Robertson,11
Dunk,11
King,11
Zinchenko,11
Alexander-Arnold,11
Ederson,10
Greenwood,10
Mané,9
Aubameyang,9
Kane,9
James,9
van Aanholt,8
Pieters,8
Abraham,8
McGinn,7
Ryan,7
Ceballos,7
Patrício,6
Walker,6
Adrián,6
Hayden,6
Rico,5
Söyüncü,5
Ayew,5
Rashford,5
Mings,5
Gunn,5
Fraser,5
Lascelles,5
de Gea,5
Firmino,5
Otamendi,4
Vardy,4
Stekelenburg,4
Dendoncker,4
Guendouzi,4
Keane,4
Simpson,4
Jota,4
Vestergaard,4
Martial,3
Maddison,3
Leno,3
Haller,3
Son,3
Richarlison,3
Duffy,3
Wesley,3
Alderweireld,3
Bernardo Silva,3
David Silva,3
Aké,3
Neves,3
Bernard,3
Zaha,3
Kepa,3
Pulisic,3
Harry Wilson,2
McGovern,2
Jiménez,2
Lanzini,2
Lucas Moura,2
Matip,2
Ndombele,2
Grealish,2
Eriksen,2
Lamela,2
Callum Wilson,2
Mee,2
Coleman,2
Trossard,1
Montoya,1
Colback,1
Lowton,1
Pickford,1
Hanley,1
Moutinho,1
Hart,1
Stephens,1
Chilwell,1
Kovacic,1
Stones,1
Heaton,1
Tomori,1
Ndidi,1
David Luiz,1
Wijnaldum,1
Douglas Luiz,1
Mina,1
Pogba,1
Ward,1
Boly,1
Ings,1
Buendía,1
Schneiderlin,1
Bennett,1
Milner,1
Noble,1
Evans,1
Vallejo,1
Pereyra,1
Gudmundsson,1
Daniels,1
Reid,1
Guilbert,1
March,1
Alisson,1
Mkhitaryan,1
Pereira,1
Torreira,1
Schmeichel,1
Pedro,1
Maitland-Niles,1
Diop,1
Højbjerg,1
Stearman,1
McNeil,1
McTominay,1
Murray,1
Jorginho,1
Tielemans,1
Sigurdsson,1
Prödl,1
Kolasinac,1
Gibson,1
Morgan,1
Success,1
Zouma,1
Holebas,1
Iwobi,1
Tosun,1
Fabianski,1
