Name,Count
Lundstram,34
De Bruyne,31
Abraham,28
Cantwell,27
Mount,27
Pukki,25
Button,22
Salah,21
Sterling,20
McGinn,19
Agüero,19
Alexander-Arnold,18
Pope,17
Kelly,15
Pieters,15
Mané,14
Ryan,13
Digne,13
Dunk,13
van Dijk,12
Otamendi,10
Pereira,10
Aubameyang,10
Ederson,10
Rico,9
Söyüncü,8
Kane,8
Vardy,8
van Aanholt,8
Robertson,8
Wan-Bissaka,8
Callum Wilson,6
Dendoncker,6
Guendouzi,6
King,6
Patrício,5
Son,5
Greenwood,5
McGovern,5
Mings,5
Ceballos,5
Firmino,5
Ayew,4
Walker,4
Gunn,4
Lascelles,4
Alderweireld,4
David Silva,4
Tomori,3
Connolly,3
Barnes,3
Hayden,3
Wesley,3
Bernardo Silva,3
Yarmolenko,3
Jota,3
James,3
Zaha,3
Kepa,3
Pulisic,3
Stekelenburg,2
Leno,2
Zinchenko,2
Lanzini,2
Wood,2
Matip,2
Maddison,2
Schmeichel,2
de Gea,2
Wijnaldum,2
Vestergaard,2
Adrián,2
Gibson,2
Keane,2
Alisson,2
Boly,2
Ndombele,2
Bernard,2
Rashford,2
Diop,2
Montoya,1
Colback,1
Lowton,1
Haller,1
Pickford,1
Aurier,1
Moutinho,1
Hart,1
Simpson,1
Elneny,1
Chilwell,1
Kovacic,1
Cresswell,1
Chambers,1
Douglas Luiz,1
Mina,1
Ward,1
Harry Wilson,1
Ings,1
Henderson,1
Schneiderlin,1
Ramsdale,1
Noble,1
Evans,1
Vallejo,1
Traoré,1
Grealish,1
Daniels,1
Reid,1
Martial,1
March,1
Guilbert,1
Mee,1
Richarlison,1
Lucas Moura,1
Fraser,1
Pedro,1
Torreira,1
Aké,1
Maitland-Niles,1
Højbjerg,1
Engels,1
Lamela,1
McNeil,1
Coleman,1
McTominay,1
Jorginho,1
Tielemans,1
Sigurdsson,1
Prödl,1
Kolasinac,1
Morgan,1
Neves,1
Success,1
Zouma,1
Holebas,1
Duffy,1
Iwobi,1
Fabianski,1
Tosun,1
Eriksen,1
